Date,Price,Open,High,Low,Vol.,Change %,Company,Year,Month,Day,Spread
2024-12-13,620.35,627.22,631.08,616.89,8450000.0,-1.66,2,2024,12,13,14.190000000000055
2024-12-13,447.27,448.43,451.43,445.58,20180000.0,-0.51,3,2024,12,13,5.850000000000023
2024-12-16,232.93,230.23,233.0,228.01,37550000.0,2.4,0,2024,12,16,4.990000000000009
2024-12-16,196.66,192.87,199.0,192.62,44930000.0,3.6,1,2024,12,16,6.3799999999999955
2024-12-16,624.24,629.97,631.15,618.58,10890000.0,0.63,2,2024,12,16,12.569999999999936
2024-12-16,451.59,447.27,452.18,445.28,23600000.0,0.97,3,2024,12,16,6.900000000000034
2024-12-17,231.15,232.39,232.73,227.85,35950000.0,-0.76,0,2024,12,17,4.8799999999999955
2024-12-17,195.42,197.25,201.42,194.98,43500000.0,-0.63,1,2024,12,17,6.439999999999998
2024-12-17,619.44,626.17,632.37,616.54,12900000.0,-0.77,2,2024,12,17,15.830000000000041
2024-12-17,454.46,451.01,455.29,449.57,22730000.0,0.64,3,2024,12,17,5.720000000000027
2024-12-18,220.52,230.77,231.4,220.11,43280000.0,-4.6,0,2024,12,18,11.289999999999992
2024-12-18,188.4,195.22,197.0,187.74,34170000.0,-3.59,1,2024,12,18,9.259999999999991
2024-12-18,597.19,621.0,627.36,596.32,17080000.0,-3.59,2,2024,12,18,31.039999999999964
2024-12-18,437.39,451.32,452.65,437.02,24440000.0,-3.76,3,2024,12,18,15.629999999999995
2024-12-19,223.29,224.91,226.09,222.92,39920000.0,1.26,0,2024,12,19,3.170000000000016
2024-12-19,188.51,191.63,193.03,188.38,32270000.000000004,0.06,1,2024,12,19,4.650000000000006
2024-12-19,595.57,610.39,611.52,595.0,14960000.0,-0.27,2,2024,12,19,16.519999999999982
2024-12-19,437.03,441.62,443.18,436.32,22960000.0,-0.08,3,2024,12,19,6.860000000000014
2024-12-20,224.92,219.84,226.21,218.73,88280000.0,0.73,0,2024,12,20,7.480000000000018
2024-12-20,191.41,185.78,192.89,185.22,63460000.0,1.54,1,2024,12,20,7.6699999999999875
2024-12-20,585.25,590.58,603.11,580.0,48990000.0,-1.73,2,2024,12,20,23.110000000000014
2024-12-20,436.6,433.11,443.74,428.63,64260000.00000001,-0.1,3,2024,12,20,15.110000000000014
2024-12-23,225.06,225.01,226.88,223.9,28070000.0,0.06,0,2024,12,23,2.9799999999999898
2024-12-23,194.63,192.62,195.1,190.15,25680000.0,1.68,1,2024,12,23,4.949999999999989
2024-12-23,599.85,589.6,601.09,586.25,10210000.0,2.49,2,2024,12,23,14.840000000000032
2024-12-23,435.25,436.74,437.65,432.83,19150000.0,-0.31,3,2024,12,23,4.819999999999993
2024-12-24,229.05,226.94,229.14,226.13,15010000.0,1.77,0,2024,12,24,3.009999999999991
2024-12-24,196.11,194.84,196.11,193.78,10400000.0,0.76,1,2024,12,24,2.3300000000000125
2024-12-24,607.75,602.72,607.99,599.28,4730000.0,1.32,2,2024,12,24,8.710000000000036
2024-12-24,439.33,434.65,439.6,434.19,7160000.0,0.94,3,2024,12,24,5.410000000000025
2024-12-26,227.05,228.5,228.5,226.67,16170000.000000002,-0.87,0,2024,12,26,1.8300000000000125
2024-12-26,195.6,195.15,196.75,194.38,12060000.0,-0.26,1,2024,12,26,2.3700000000000045
2024-12-26,603.35,605.48,606.3,598.94,6090000.0,-0.72,2,2024,12,26,7.3599999999999
2024-12-26,438.11,439.08,440.94,436.63,8199999.999999999,-0.28,3,2024,12,26,4.310000000000002
