"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2024","408.90","405.91","411.24","404.37","15.14M","-0.13%"
"09/03/2024","409.44","417.91","419.88","407.03","20.31M","-1.85%"
"08/30/2024","417.14","415.60","417.49","412.13","24.31M","0.97%"
"08/29/2024","413.12","414.94","422.05","410.60","17.05M","0.61%"
"08/28/2024","410.60","414.88","415.00","407.31","14.88M","-0.78%"
"08/27/2024","413.84","412.86","414.36","410.25","13.49M","0.08%"
"08/26/2024","413.49","416.36","417.28","411.34","13.15M","-0.79%"
"08/23/2024","416.79","416.98","419.26","412.09","18.49M","0.30%"
"08/22/2024","415.55","424.36","426.79","414.61","19.36M","-2.03%"
"08/21/2024","424.14","424.08","426.40","421.72","16.07M","-0.16%"
"08/20/2024","424.80","421.70","425.86","421.64","16.39M","0.78%"
"08/19/2024","421.53","418.96","421.75","416.46","15.23M","0.73%"
"08/16/2024","418.47","420.60","421.34","417.30","22.78M","-0.61%"
"08/15/2024","421.03","419.80","421.11","417.66","20.75M","1.00%"
"08/14/2024","416.86","414.80","417.72","412.45","18.27M","0.69%"
"08/13/2024","414.01","409.59","414.95","409.57","19.41M","1.77%"
"08/12/2024","406.81","407.06","408.76","404.24","16.76M","0.19%"
"08/09/2024","406.02","404.03","408.05","402.26","19.28M","0.83%"
"08/08/2024","402.69","402.44","405.86","399.94","20.20M","1.07%"
"08/07/2024","398.43","408.64","410.08","397.47","20.65M","-0.30%"
"08/06/2024","399.61","400.00","405.67","398.50","24.95M","1.13%"
"08/05/2024","395.15","389.17","401.04","385.58","40.71M","-3.27%"
"08/02/2024","408.49","412.49","415.00","404.34","29.44M","-2.07%"
"08/01/2024","417.11","420.79","427.46","413.09","30.30M","-0.30%"
"07/31/2024","418.35","420.49","421.77","412.21","42.89M","-1.08%"
"07/30/2024","422.92","427.72","429.05","417.36","32.69M","-0.89%"
"07/29/2024","426.73","431.58","432.15","424.70","15.13M","0.34%"
"07/26/2024","425.27","418.20","428.92","417.27","23.58M","1.64%"
"07/25/2024","418.40","428.80","429.80","417.51","29.94M","-2.45%"
"07/24/2024","428.90","440.45","441.48","427.58","26.81M","-3.59%"
"07/23/2024","444.85","443.89","448.39","443.10","13.11M","0.43%"
"07/22/2024","442.94","441.79","444.60","438.91","15.81M","1.33%"
"07/19/2024","437.11","433.10","441.14","432.00","20.94M","-0.74%"
"07/18/2024","440.37","444.34","444.65","434.40","20.79M","-0.71%"
"07/17/2024","443.52","442.59","444.85","439.18","21.75M","-1.33%"
"07/16/2024","449.52","454.22","454.30","446.66","17.18M","-0.98%"
"07/15/2024","453.96","453.30","457.26","451.43","14.43M","0.09%"
"07/12/2024","453.55","454.33","456.36","450.64","16.32M","-0.25%"
"07/11/2024","454.70","462.98","464.78","451.55","23.11M","-2.48%"
"07/10/2024","466.25","461.22","466.46","458.86","18.20M","1.46%"
"07/09/2024","459.54","467.00","467.33","458.00","17.23M","-1.44%"
"07/08/2024","466.24","466.55","467.70","464.46","12.96M","-0.28%"
"07/05/2024","467.56","459.61","468.35","458.96","16.00M","1.47%"
"07/03/2024","460.77","458.19","461.02","457.88","9.93M","0.32%"
"07/02/2024","459.28","453.20","459.59","453.11","13.98M","0.56%"
"07/01/2024","456.73","448.66","457.37","445.66","17.66M","2.19%"
"06/28/2024","446.95","453.07","455.38","446.41","28.36M","-1.30%"
"06/27/2024","452.85","452.17","456.17","451.77","14.81M","0.15%"
"06/26/2024","452.16","449.00","453.60","448.19","16.51M","0.27%"
"06/25/2024","450.95","448.25","451.42","446.75","16.75M","0.73%"
"06/24/2024","447.67","449.80","452.75","446.41","15.91M","-0.47%"
"06/21/2024","449.78","447.38","450.58","446.51","34.49M","0.92%"
"06/20/2024","445.70","446.30","446.53","441.27","19.88M","-0.14%"
